id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
138619,North Beach View & Garden 1BD/1BA,644896,Matthew,,North Beach,37.79835394,-122.404197,Entire home/apt,300,30,39,7/26/2017,0.49,1,365
138681,Modern 3 bedroom 2 bath w/parking,513978,Alvaro,,South of Market,37.77284289,-122.3968654,Entire home/apt,500,180,2,8/23/2011,0.03,1,365
138772,Garden Studio,261304,Claire,,Castro/Upper Market,37.75822672,-122.4327331,Private room,150,5,48,1/13/2018,0.6,1,142
140568,Bernal Heights San Francisco Value,684131,Mary,,Bernal Heights,37.73873566,-122.4162381,Private room,90,2,118,7/15/2017,1.48,2,57
142177,"Stylish, Spacious and Quiet Flat!",656263,Noreen,,Outer Richmond,37.78470578,-122.4812497,Entire home/apt,350,5,159,10/7/2017,2.08,1,136
144978,Prime Location - Small Basic Room,216682,Jay,,Pacific Heights,37.7933572,-122.4250623,Private room,56,30,113,12/9/2017,1.41,6,365
145886,"Mission Treehouse 2BR, 2BA, Parking",662116,Sara,,Mission,37.76408733,-122.4165897,Entire home/apt,395,2,112,8/12/2017,1.39,7,28
148559,"Central Victorian Apartment, 2.5 br",717236,Steven,,Castro/Upper Market,37.76787022,-122.4317222,Entire home/apt,275,5,15,1/3/2018,0.19,1,25
150347,Cute Private 2Br Apt in the Mission,172182,Brian & Leah,,Mission,37.76202211,-122.4187604,Entire home/apt,179,30,115,10/23/2016,1.44,1,307
150848,SF Urban Haven & Secret Garden,726513,Nancy,,Potrero Hill,37.76199539,-122.3939147,Private room,75,3,175,1/29/2018,2.24,1,0
153131,Gated Community Spare Bedroom/Bath,736287,Geoff,,Crocker Amazon,37.70802988,-122.4268071,Private room,100,2,5,8/14/2017,0.06,1,363
159273,3Bed view Victorian in Pac Heights,694377,Beatrice,,Pacific Heights,37.79485584,-122.4304203,Entire home/apt,250,30,111,1/11/2018,2.08,2,158
162934,Designer remodeled studio,778281,Noelle,,Outer Richmond,37.77760606,-122.5037843,Entire home/apt,149,4,156,1/29/2018,1.95,1,308
164207,"Quiet area by subway, private bath",783438,Phil,,West of Twin Peaks,37.74159258,-122.465782,Private room,69,5,288,1/22/2018,3.61,3,140
