id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21925310,Elegant Nob Hill room with lovely views.,158874946,Gayle,,Nob Hill,37.79175098,-122.4112238,Private room,85,30,1,12/11/2017,0.36,1,5
21935870,Spacious Upscale Suite in Superb Location,160087266,Olivia & Dan,,North Beach,37.80212624,-122.408856,Entire home/apt,250,2,3,2/27/2018,2.81,1,244
21938068,1900 Edwardian: Twin Peaks View+Cozy Qn.,18151037,Valerie,,Noe Valley,37.75202563,-122.4352699,Private room,160,2,0,,,9,210
21950445,San Francisco room with Excellent Hospitality!,2743072,Mark,,West of Twin Peaks,37.74281208,-122.452614,Private room,65,2,9,2/20/2018,4.03,1,46
21951451,"Sunny 3br/2ba Mission Flat: Roof Deck, Yard",111795465,Tom,,Mission,37.75577115,-122.4145188,Entire home/apt,395,4,3,1/21/2018,1.38,1,73
21963323,Twin Peaks Master Suite with City Skyline View,160339803,John,,Twin Peaks,37.7561196,-122.4452301,Private room,150,2,1,1/1/2018,0.48,3,0
21964157,旧金山之翼(Wing of San Francisco) 2 Rooms for 1–5people,149797235,Wing,,Bayview,37.7208276,-122.3945148,Entire home/apt,129,1,15,2/25/2018,6.82,1,101
21965592,"Marina Oasis, 1-bedroom garden apartment",66218996,K,,Pacific Heights,37.79409768,-122.439282,Entire home/apt,198,2,7,2/18/2018,2.47,1,66
21966135,Modern room + private bath in SOMA,10624702,Karim & Pooja,,South of Market,37.77767994,-122.4039444,Private room,175,1,8,2/21/2018,2.67,1,255
21966629,QUIET COZY NOE VALLEY FLAT,5872373,Diana,,Noe Valley,37.74613084,-122.4289194,Entire home/apt,150,2,5,2/11/2018,1.97,1,32
21974808,Upscale Private Ensuite Bed & Bath in Nob Hill,27368404,Eddie,,Nob Hill,37.7948395,-122.410617,Private room,1000,2,17,3/3/2018,5.86,4,218
21975025,Pacific Heights - 1908 Edwardian,24494168,Terry,,Pacific Heights,37.78770082,-122.4439489,Entire home/apt,500,4,3,2/8/2018,1.43,1,145
21976340,Modern SoMa Highrise,45542259,Melanie,,South of Market,37.77777991,-122.414692,Private room,160,2,18,2/25/2018,8.31,1,73
21979517,Featured SF Dream Home | 3 Bedroom home with Views,128112635,Hugh And Eliana,,Castro/Upper Market,37.75721578,-122.4392985,Entire home/apt,450,2,4,2/22/2018,3.08,1,4
21996653,Brand New 1 brm Apartment for Business/Vacation,102886914,Nadine,,Inner Sunset,37.7615859,-122.4756174,Entire home/apt,175,2,15,2/18/2018,5.42,1,80
21997273,rest is best,160620816,Kristen,,West of Twin Peaks,37.74148757,-122.4504843,Private room,75,1,0,,,1,42
21999656,Amazing City View House (Full House),39041682,Kevin (Or Jose),,Visitacion Valley,37.7218297,-122.4080492,Entire home/apt,400,4,0,,,2,26
22002029,"Cozy Edwardian condo, a Pacific Heights gem",7343864,Etsu,,Presidio Heights,37.78747666,-122.4476723,Entire home/apt,125,3,14,2/24/2018,5.6,1,1
22003066,COMPLETELY RENOVATED SUNNY HIGHER END SOMA DUPLEX,127422643,Bill,,South of Market,37.7760267,-122.4064187,Entire home/apt,400,3,2,2/26/2018,2,2,114
22011446,Wyndham Canterbury at San Francisco 1 bedroom,100238132,Michael,,Downtown/Civic Center,37.78848118,-122.4117809,Private room,229,3,0,,,4,324
22015376,Huge 2BD/2BA Apartment in Heart of The Castro,107400974,Todd,,Castro/Upper Market,37.75944273,-122.4341417,Entire home/apt,300,4,4,2/21/2018,1.45,2,38
22016641,Big 3bd/1ba Heart of North Beach with Parking,155804679,Bernard,,North Beach,37.80441311,-122.4154315,Entire home/apt,500,5,4,2/7/2018,1.36,1,143
22017605,Large studio on quiet side of building,160778191,Andrew,,West of Twin Peaks,37.72478948,-122.45548,Entire home/apt,100,1,7,2/18/2018,3.28,1,9
22031109,Perfect place to get away.,144803087,Raul,,Outer Mission,37.7120894,-122.4543331,Private room,100,1,1,12/14/2017,0.37,1,179
22033453,"Noe Valley 5-Star Home- 2 BD, 2 BA, great location",3817487,Bruce And Keith,,Noe Valley,37.75406145,-122.4383808,Entire home/apt,475,4,1,1/12/2018,0.58,2,128
22048364,Bernal House,73964588,Debra,,Bernal Heights,37.74472987,-122.4151604,Private room,159,1,2,12/12/2017,0.67,1,114
22066724,Sunny Luxury 3/2.5 Home w/Rooftop+Amazing Location,274619,Tory,,Mission,37.76747112,-122.423304,Entire home/apt,479,1,3,1/1/2018,1.36,1,0
22068208,Spectacular Bay Bridge View - Luxury Apartment,16957023,Samir,,Financial District,37.79252307,-122.3917893,Entire home/apt,111,10,0,,,1,0
22079422,A Private Room in Friendly Hostel with Community,329072,Darren & Friends,,Financial District,37.79480033,-122.4030386,Private room,75,1,7,2/13/2018,2.66,17,4
22083141,Spacious Master Bedroom in Pac Heights,161315146,Diego,,Pacific Heights,37.79257897,-122.4249419,Private room,240,1,0,,,1,163
22088324,Centrally Located Room in San Francisco,137980,Jack,,Castro/Upper Market,37.75925136,-122.4393659,Private room,250,14,0,,,2,260
22092266,Modern apt at the heart of San Francisco!,13268352,Aziz,,South of Market,37.77505357,-122.3945879,Entire home/apt,300,5,3,2/5/2018,1.05,3,35
22104228,❤️ of San Francisco | Close to Everything,38610488,Ana,,Downtown/Civic Center,37.78764951,-122.4190141,Private room,81,1,25,2/25/2018,8.93,1,185
22108513,3BR Family Home - Golden Gate Park & Restaurants,94057535,Josh,,Inner Richmond,37.77847938,-122.4635512,Entire home/apt,339,3,15,2/24/2018,5.11,1,86
22110217,★ Gorgeous California Hideout ★ In Hot New Bayview,7772037,Leila,,Bayview,37.73354366,-122.3885804,Entire home/apt,120,3,8,2/18/2018,4.14,1,75
